City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,14.85,65,50,3.58,AU,1725482688
1,lubuklinggau,-3.3,102.8667,24.03,82,100,0.8,ID,1725482689
2,aguililla,18.7333,-102.7333,28.18,68,59,1.02,MX,1725482690
3,crane,31.3974,-102.3501,26.28,58,80,1.23,US,1725482691
4,thompson,55.7435,-97.8558,13.09,54,75,4.63,CA,1725482693
5,waitangi,-43.9535,-176.5597,8.79,75,6,2.24,NZ,1725482694
6,ushuaia,-54.8,-68.3,8.81,49,40,3.6,AR,1725482695
7,yakeshi,49.2833,120.7333,7.3,52,100,2.37,CN,1725482697
8,adamstown,-25.066,-130.1015,17.96,58,50,5.72,PN,1725482698
9,susuman,62.7833,148.1667,6.95,89,99,1.63,RU,1725482699
10,puerto natales,-51.7236,-72.4875,12.25,35,40,18.01,CL,1725482701
11,baruun-urt,46.6806,113.2792,6.97,63,0,2.82,MN,1725482702
12,port alfred,-33.5906,26.891,16.77,84,100,1.34,ZA,1725482704
13,utrik,11.2278,169.8474,28.68,81,100,9.78,MH,1725482705
14,malpica,43.3228,-8.8105,17.43,96,93,6.23,ES,1725482706
15,port-aux-francais,-49.35,70.2167,5.51,95,100,16.28,TF,1725482708
16,port mathurin,-19.6833,63.4167,22.23,80,89,9.13,MU,1725482709
17,barinitas,8.7622,-70.4111,26.19,76,65,1.05,VE,1725482710
18,bredasdorp,-34.5322,20.0403,11.66,76,100,1.74,ZA,1725482712
19,saquarema,-22.92,-42.5103,21.67,86,0,6.05,BR,1725482713
20,avarua,-21.2078,-159.775,26.03,83,40,2.06,CK,1725482714
21,kirensk,57.7853,108.1119,8.25,97,100,1.6,RU,1725482716
22,papatowai,-46.5619,169.4708,9.82,71,94,2.54,NZ,1725482717
23,tralee,52.2704,-9.7026,11.48,86,87,4.96,IE,1725482718
24,las vegas,36.175,-115.1372,41.8,12,0,3.6,US,1725482469
25,san patricio,28.017,-97.5169,29.97,78,89,7.05,US,1725482721
26,la passe,45.5549,-0.8967,16.4,80,85,3.82,FR,1725482722
27,grytviken,-54.2811,-36.5092,-0.25,89,56,2.93,GS,1725482724
28,constantia,44.1833,28.65,18.38,60,4,4.88,RO,1725482725
29,vorgashor,67.5833,63.95,8.06,83,80,3.0,RU,1725482726
30,flying fish cove,-10.4217,105.6791,24.82,83,75,4.63,CX,1725482728
31,port lincoln,-34.7333,135.8667,15.73,82,100,1.63,AU,1725482729
32,sipalay,9.75,122.5,25.73,89,100,3.61,PH,1725482730
33,belyy yar,53.6039,91.3903,11.94,87,40,2.0,RU,1725482732
34,bethel,41.3712,-73.414,24.63,52,0,3.6,US,1725482733
35,monahans,31.5943,-102.8926,22.42,76,100,1.58,US,1725482734
36,tiksi,71.6872,128.8694,4.36,92,100,1.93,RU,1725482736
37,sandnessjoen,66.0217,12.6316,13.06,94,75,1.03,NO,1725482737
38,ust-nera,64.5667,143.2,6.52,92,100,1.48,RU,1725482739
39,lazaro cardenas,17.9583,-102.2,31.07,65,46,4.51,MX,1725482740
40,lebu,-37.6167,-73.65,9.61,72,85,6.68,CL,1725482741
41,lensk,60.7253,114.9278,6.84,92,100,2.76,RU,1725482743
42,huron,41.1501,-82.5499,28.77,33,0,2.15,US,1725482744
43,sangin,32.0728,64.8359,25.04,10,0,2.21,AF,1725482746
44,copiapo,-27.3667,-70.3333,24.55,27,0,2.38,CL,1725482747
45,uturoa,-16.7333,-151.4333,25.28,78,35,8.54,PF,1725482748
46,port isabel,26.0734,-97.2086,31.02,77,40,4.02,US,1725482750
47,det udom,14.906,105.0784,23.73,97,100,2.17,TH,1725482751
48,vilyuchinsk,52.9306,158.4028,8.15,72,73,3.46,RU,1725482752
49,west island,-12.1568,96.8225,25.99,73,20,4.63,CC,1725482753
50,badger,64.8,-147.5333,15.55,53,75,3.6,US,1725482755
51,santa teresa,10.2341,-66.6631,28.25,78,99,0.9,VE,1725482756
52,margaret river,-33.95,115.0667,10.3,70,100,10.84,AU,1725482758
53,hammerfest,70.6634,23.6821,18.25,68,0,4.63,NO,1725482759
54,ancud,-41.8697,-73.8203,7.92,61,97,1.86,CL,1725482760
55,whitehorse,60.7161,-135.0538,11.43,67,100,6.71,CA,1725482761
56,qarauyl,48.9451,79.255,17.67,30,100,4.53,KZ,1725482763
57,edinburgh of the seven seas,-37.0676,-12.3116,10.24,62,75,5.28,SH,1725482764
58,colatina,-19.5394,-40.6306,26.46,56,24,5.52,BR,1725482765
59,bardai,11.65,7.2333,21.27,93,83,2.9,NG,1725482767
60,albany,42.6001,-73.9662,26.0,51,0,0.45,US,1725482768
61,quellon,-43.1167,-73.6167,7.67,71,100,3.67,CL,1725482769
62,ixtapa,20.7,-105.2,31.57,62,40,4.12,MX,1725482770
63,revda,56.801,59.9303,7.54,85,95,2.05,RU,1725482499
64,bijie,27.3125,105.2942,18.07,89,14,1.1,CN,1725482773
65,havre,49.5833,0.3333,15.87,82,100,3.09,FR,1725482774
66,jamestown,42.097,-79.2353,25.57,35,0,2.57,US,1725482776
67,merizo village,13.2658,144.6691,26.66,94,83,2.28,GU,1725482777
68,suances,43.4334,-4.0434,19.43,91,75,3.6,ES,1725482778
69,tidjikja,18.5564,-11.4271,33.17,38,100,1.92,MR,1725482780
70,ilulissat,69.2167,-51.1,7.01,93,100,0.0,GL,1725482781
71,stanley,54.868,-1.6985,11.96,91,75,3.09,GB,1725482783
72,ribeira grande,38.5167,-28.7,23.22,60,40,5.66,PT,1725482784
73,saudarkrokur,65.7461,-19.6394,11.11,86,100,9.25,IS,1725482785
74,mbeya,-8.9,33.45,12.04,72,15,3.01,TZ,1725482787
75,guatrache,-37.6678,-63.5302,13.83,26,0,5.25,AR,1725482788
76,bandon,51.7469,-8.7425,11.77,81,68,6.09,IE,1725482790
77,lembeni,-3.7833,37.6167,19.55,72,26,2.04,TZ,1725482791
78,bilibino,68.0546,166.4372,2.41,100,100,2.05,RU,1725482792
79,anadyr,64.75,177.4833,9.28,87,20,5.0,RU,1725482793
80,olonkinbyen,70.9221,-8.7187,2.84,84,100,3.39,SJ,1725482795
81,smithers,54.7804,-127.1743,20.18,40,40,2.57,CA,1725482796
82,san andres,12.5847,-81.7006,32.01,70,20,3.6,CO,1725482797
83,yellowknife,62.456,-114.3525,15.79,54,75,3.09,CA,1725482799
84,glubokoye,50.1456,82.3114,11.86,71,75,3.0,KZ,1725482800
85,kinmparana,12.8402,-4.9199,24.7,89,90,3.16,ML,1725482802
86,vila franca do campo,37.7167,-25.4333,22.23,99,25,3.62,PT,1725482803
87,carnarvon,-24.8667,113.6333,19.32,57,17,8.36,AU,1725482804
88,remire-montjoly,4.9167,-52.2667,31.02,70,71,6.69,GF,1725482805
89,gadzhiyevo,69.2551,33.3362,15.12,69,100,7.03,RU,1725482807
90,stung treng,13.5259,105.9683,23.32,99,100,1.21,KH,1725482808
91,mar del plata,-38.0023,-57.5575,11.18,73,68,7.15,AR,1725482809
92,el calafate,-50.3408,-72.2768,5.78,67,15,2.47,AR,1725482811
93,kohtla-jarve,59.3986,27.2731,17.86,76,8,2.4,EE,1725482812
94,qaqortoq,60.7167,-46.0333,4.43,98,100,3.83,GL,1725482813
95,port elizabeth,-33.918,25.5701,15.16,91,0,5.14,ZA,1725482815
96,pangai,-19.8,-174.35,24.06,60,75,4.12,TO,1725482816
97,lihue,21.9789,-159.3672,27.98,67,0,4.63,US,1725482531
98,wailua homesteads,22.0669,-159.378,27.85,68,0,4.63,US,1725482819
99,kingscliff,-28.2667,153.5667,14.97,88,100,1.54,AU,1725482720
100,new norfolk,-42.7826,147.0587,15.51,96,95,3.09,AU,1725482667
101,hawaiian paradise park,19.5933,-154.9731,27.71,74,100,6.17,US,1725482824
102,bozeman,45.6796,-111.0386,23.82,47,0,1.54,US,1725482825
103,ostashkov,57.1467,33.1075,12.41,73,0,2.36,RU,1725482827
104,queenstown,-31.8976,26.8753,11.67,84,31,2.66,ZA,1725482828
105,guozhen,34.3659,107.359,17.56,87,99,2.42,CN,1725482829
106,longyearbyen,78.2186,15.6401,7.91,93,75,1.03,SJ,1725482831
107,zhizdra,53.746,34.7395,14.8,65,0,3.61,RU,1725482832
108,georgetown,5.4112,100.3354,28.96,91,40,2.06,MY,1725482834
109,college,64.8569,-147.8028,15.6,51,75,3.6,US,1725482835
110,pernik,42.6,23.0333,19.71,52,27,1.29,BG,1725482836
111,ambon,-3.6954,128.1814,26.6,95,40,2.57,ID,1725482838
112,chittagong,22.9167,91.5,25.98,92,100,2.23,BD,1725482839
113,jackson,42.4165,-122.8345,36.15,20,0,0.88,US,1725482762
114,brookings,44.3114,-96.7984,28.0,54,0,7.2,US,1725482842
115,talnakh,69.4865,88.3972,1.81,83,53,3.31,RU,1725482843
116,sandwip,22.4678,91.4561,28.31,82,99,3.36,BD,1725482845
117,berriane,32.8265,3.7669,33.88,21,58,0.92,DZ,1725482846
118,ust-tsilma,65.441,52.1498,8.7,97,11,1.49,RU,1725482848
119,magadan,59.5667,150.8,9.9,87,18,1.94,RU,1725482849
120,afaahiti,-17.75,-149.2833,23.17,72,87,8.78,PF,1725482850
121,angaur state,6.906,134.13,28.48,74,97,2.3,PW,1725482852
122,chonchi,-42.6128,-73.8092,8.95,75,100,1.01,CL,1725482853
123,luderitz,-26.6481,15.1594,13.69,81,3,7.05,NA,1725482854
124,soio,-6.1349,12.3689,22.31,91,1,3.31,AO,1725482856
125,iqaluit,63.7506,-68.5145,3.85,80,100,4.12,CA,1725482857
126,vernon,50.2581,-119.2691,30.42,28,12,2.06,CA,1725482858
127,tazovsky,67.4667,78.7,2.92,88,45,3.35,RU,1725482860
128,dudinka,69.4058,86.1778,1.01,90,75,3.44,RU,1725482861
129,kpandae,8.4689,-0.0113,24.19,84,100,2.3,GH,1725482863
130,tolanaro,-25.0319,46.9987,20.04,94,40,5.14,MG,1725482864
131,ushibukamachi,32.1906,130.0228,25.3,83,1,1.34,JP,1725482866
132,bontang,0.1333,117.5,25.79,87,99,2.9,ID,1725482867
133,lanzhou,36.0564,103.7922,14.37,74,100,1.54,CN,1725482869
134,fada,7.25,4.0667,25.37,83,40,5.66,NG,1725482870
135,saipan,15.1355,145.701,27.39,83,0,3.09,MP,1725482872
136,kajansi,0.2081,32.5222,18.2,91,98,2.32,UG,1725482873
137,kharan,28.5833,65.4167,29.85,15,2,1.35,PK,1725482874
138,mpraeso,6.5932,-0.7346,21.1,85,56,1.93,GH,1725482876
139,al jawf,29.5,38.75,26.48,33,0,4.16,SA,1725482877
140,vorkuta,67.5,64.0,9.12,79,99,2.84,RU,1725482878
141,ordubad,38.9059,46.0234,22.29,46,0,5.12,AZ,1725482880
142,hobyo,5.3505,48.5268,24.23,87,2,11.18,SO,1725482881
143,ebon,4.582,168.6964,28.3,76,100,4.15,MH,1725482882
144,cabo san lucas,22.8909,-109.9124,31.17,60,75,4.12,MX,1725482496
145,uvalde,29.3669,-99.767,31.34,52,75,5.14,US,1725482885
146,chibougamau,49.9168,-74.3659,23.79,41,0,10.8,CA,1725482886
147,keflavik,64.0049,-22.5624,11.24,100,100,9.26,IS,1725482888
148,naze,28.3667,129.4833,26.51,79,13,3.17,JP,1725482889
149,koregaon,18.65,74.0833,23.61,92,100,4.54,IN,1725482891
150,hermanus,-34.4187,19.2345,12.11,76,100,3.75,ZA,1725482892
151,kailua-kona,19.6406,-155.9956,28.64,76,40,2.06,US,1725482893
152,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,81,75,4.0,RU,1725482894
153,isangel,-19.55,169.2667,21.45,78,87,8.02,VU,1725482896
154,markala,13.7021,-6.0659,25.26,87,81,3.44,ML,1725482897
155,happy valley-goose bay,53.3168,-60.3315,18.17,32,75,6.17,CA,1725482898
156,suva,-18.1416,178.4415,20.71,88,20,1.54,FJ,1725482900
157,necochea,-38.5473,-58.7368,8.9,65,13,7.34,AR,1725482901
158,ha'il,27.5219,41.6907,31.01,23,0,1.03,SA,1725482902
159,mahdia,35.5047,11.0622,29.79,66,88,4.4,TN,1725482904
160,keelung,25.1283,121.7419,29.97,78,27,4.78,TW,1725482905
161,palikir - national government center,6.9248,158.1611,24.41,100,40,1.54,FM,1725482906
162,middelburg,-25.7751,29.4648,15.21,25,0,2.21,ZA,1725482907
163,wynyard,-41.0,145.7167,12.18,91,100,4.45,AU,1725482909
164,tsiombe,-25.3,45.4833,19.81,86,15,5.94,MG,1725482910
165,lionville,40.0537,-75.6599,25.72,41,0,3.09,US,1725482911
166,battle ground,45.7809,-122.5334,30.57,41,6,2.16,US,1725482913
167,anar darah,32.7587,61.654,22.11,16,0,4.45,AF,1725482914
168,vadso,70.0744,29.7487,16.09,77,75,6.17,NO,1725482915
169,puloypuloy,6.6352,124.096,25.76,83,100,1.71,PH,1725482917
170,codrington,-38.2667,141.9667,15.14,46,100,7.0,AU,1725482918
171,khandyga,62.6667,135.6,7.94,97,100,1.69,RU,1725482919
172,nova sintra,14.8667,-24.7167,26.99,86,95,3.78,CV,1725482920
173,mount pearl,47.5166,-52.7813,18.51,60,20,5.66,CA,1725482922
174,posse,-14.0931,-46.3694,29.8,14,0,3.02,BR,1725482923
175,st. john's,47.5649,-52.7093,18.97,58,20,5.66,CA,1725482924
176,alice springs,-23.7,133.8833,11.75,40,5,0.0,AU,1725482926
177,chibuto,-24.6867,33.5306,17.6,69,0,3.78,MZ,1725482927
178,nar'yan-mar,67.6713,53.087,9.77,94,29,4.06,RU,1725482928
179,tangalle,6.024,80.7911,26.49,87,100,5.37,LK,1725482930
180,haiku-pauwela,20.9219,-156.3051,28.45,68,40,7.72,US,1725482931
181,zhalantun,48.0,122.7167,11.69,61,100,1.82,CN,1725482932
182,tura,25.5198,90.2201,23.38,97,100,1.62,IN,1725482934
183,pisco,-13.7,-76.2167,18.34,72,0,4.63,PE,1725482935
184,ogoja,6.6547,8.7976,24.34,91,99,2.35,NG,1725482936
185,yebaishou,41.3975,119.6408,17.11,76,100,3.68,CN,1725482937
186,illizi,26.4833,8.4667,30.01,40,100,6.74,DZ,1725482939
187,praia,14.9215,-23.5087,28.3,78,75,3.6,CV,1725482940
188,iskateley,67.6803,53.1512,9.72,94,30,4.08,RU,1725482941
189,cururupu,-1.8283,-44.8683,25.54,79,84,2.49,BR,1725482943
190,isafjordur,66.0755,-23.124,8.97,95,100,3.74,IS,1725482944
191,korhogo,9.45,-5.6333,22.16,97,90,2.34,CI,1725482945
192,la ronge,55.1001,-105.2842,16.12,63,100,7.2,CA,1725482946
193,robore,-18.3333,-59.75,33.05,43,0,0.0,BO,1725482948
194,enewetak,11.3474,162.3373,29.03,74,31,7.3,MH,1725482949
195,kodiak,57.79,-152.4072,11.73,100,100,8.75,US,1725482931
196,tofol,5.3248,163.0078,27.75,76,49,3.73,FM,1725482952
197,gardnerville ranchos,38.8882,-119.7413,30.69,16,0,5.81,US,1725482953
198,uberlandia,-18.9186,-48.2772,31.56,11,0,3.6,BR,1725482954
